latitude,longitude,store_id,store_name,pincode,address,dc_blinkit_internal_city,dc_blinkit_internal_city_id,scraping_enabled,pluscode,last_active_dt,discovery_dt
22.479668,88.35065,36554,Super Store Kolkata Netaji Nagar ES138,711107,,kolkata,229248797,0,7MJCF9H2+V76PQ6G,2100-01-01,2025-01-01
21.180908,72.740295,36588,Super Store Surat Adajan Pal ES7,394510,,surat,225663524,0,7JHJ5PJR+9477QP4,2100-01-01,2025-01-01
10.021264,76.35768,36590,Super Store Kochi Info Park ES6,682033,,kochi,222868740,0,7J2R29C5+G33GXGF,2100-01-01,2025-01-01
17.669897,83.21195,36592,Super Store Visakhapatnam Gajuwaka ES12,530046,,visakhapatnam,228251945,0,7M95M696+XQ4WFRF,2100-01-01,2025-01-01
16.327887,80.45131,36594,Super Store Guntur Gorantla ES2,522003,,guntur,225564073,0,7M828FH2+5G4C6MR,2100-01-01,2025-01-01
17.764158,83.3587,36596,Super Store Visakhapatnam Yendada ES13,530041,,visakhapatnam,228251945,0,7M95Q975+MF88M5P,2100-01-01,2025-01-01
19.243483,73.14214,36598,Super Store Mumbai Kalyan Chikanghar ES149,421301,,mumbai,223525546,0,7JFM64VR+9VR8HJ3,2100-01-01,2025-01-01
30.644709,76.788475,36600,Super Store Zirakpur Bir Chatt ES58,160002,,zirakpur,223271982,0,8J2RJQVQ+V9Q6MVJ,2100-01-01,2025-01-01
12.993196,80.2556,36602,Super Store Chennai Thiruvanmiyur ES55,600077,,chennai,226774846,0,7M42X7V4+76HR599,2100-01-01,2025-01-01
30.696323,76.754776,36604,Super Store Mohali Sector 65A ES57,160003,,mohali,227364413,0,8J2RMQW3+GWCWQG7,2100-01-01,2025-01-01
23.111814,72.50104,36638,Super Store Ahmedabad Science City Sola ES49,382345,,ahmedabad,225912447,0,7JMJ4G62+PCFCQM4,2100-01-01,2025-01-01
30.358654,78.10869,36640,Super Store Dehradun Nagal ES10,248012,,dehradun,222029625,0,8J2W9455+FF82RJW,2100-01-01,2025-01-01
22.671127,88.45569,36674,Super Store Kolkata Ganganagar ES131,700132,,kolkata,229248797,0,7MJCMFC4+F742P7H,2100-01-01,2025-01-01
22.262129,73.19617,36676,Super Store Vadodara Manjalpur ES8,390025,,vadodara,224145248,0,7JJM756W+VF33X32,2100-01-01,2025-01-01
23.155666,77.40577,36678,Super Store Bhopal Kolar Road ES9,462042,,bhopal,223762919,0,7JMV5C44+786,2026-07-29,2025-01-01
22.563482,72.91653,36680,Super Store Anand Vallabh Vidyanagar ES1,388345,,anand,229759509,0,7JJJHW78+9JR9FGV,2100-01-01,2025-01-01
19.967106,73.78092,36682,Super Store Nashik Sonawane ES2,422010,,nashik,222080499,0,7JFMXQ8J+R9V7993,2100-01-01,2025-01-01
26.813765,80.94231,36688,Super Store Lucknow Alambagh ES66,226016,,lucknow,223714189,0,7MR2RW7R+GW3Q2F5,2100-01-01,2025-01-01
28.667183,77.26821,36690,Super Store Delhi Jheel Khurenja ES306,110041,,delhi,229702738,0,7JWVM789+V7G9CHV,2100-01-01,2025-01-01
10.998193,77.002495,36692,Super Store Coimbatore Maskalipalayam ES4,641012,,coimbatore,225281991,0,7J2VX2X2+7XHPHH6,2100-01-01,2025-01-01
22.816473,86.204,36726,Super Store Jamshedpur Sakchi ES4,831004,,jamshedpur,223357421,0,7MJ8R683+HJJRCW5,2100-01-01,2025-01-01
19.187267,72.819565,36728,Super Store Mumbai Jankalyan Nagar ES146,400095,,mumbai,223525546,0,7JFJ5RP9+WR3QHMG,2100-01-01,2025-01-01
12.895626,77.69484,36730,Super Store Bengaluru Doddakannelli ES154,560036,,bengaluru,225966022,0,7J4VVMWV+7W45772,2100-01-01,2025-01-01
28.677763,77.35549,36766,Super Store UP-NCR Rajendra Nagar ES161,201005,,ghaziabad,229764213,0,7JWVM9H4+455,2026-07-29,2025-01-01
26.275688,72.95994,36768,Super Store Jodhpur Baldeo Nagar ES3,342008,,jodhpur,227342754,0,7JRJ7XG5+7XG,2026-07-29,2025-01-01
27.504545,77.651726,36770,Super Store Mathura Goverdhan Crossing ES2,281004,,mathura,224572875,0,7JVVGM32+RM9,2026-07-29,2025-01-01
30.795294,76.69991,36772,Super Store New Chandigarh Mulanpur ES56,140901,,chandigarh,224638299,0,8J2RQMWX+4X7JW59,2100-01-01,2025-01-01
30.306332,78.01034,36774,Super Store Dehradun ITBP Road ES14,248171,,dehradun,222029625,0,8J2W8246+G4P85MC,2100-01-01,2025-01-01
28.571167,77.212,36776,Super Store Delhi South Extn ES312,110023,,delhi,229702738,0,7JWVH6C6+FQ9,2026-07-29,2025-01-01
28.598034,77.1992,36778,Super Store Delhi Malcha Marg ES303,110045,,delhi,229702738,0,7JWVH5XX+6M87WC5,2100-01-01,2025-01-01
28.631077,77.28723,36782,Super Store Delhi Sakarpur ES271,110032,,delhi,229702738,0,7JWVJ7JP+CVQ39RQ,2100-01-01,2025-01-01
27.215635,77.95184,36784,Super Store Agra Uma Kunj ES9,282006,,agra,223877491,0,7JVV6X82+7P5C72W,2100-01-01,2025-01-01
12.858957,77.639175,36818,Super Store Bengaluru Manipal County 2 ES152,560100,,bengaluru,225966022,0,7J4VVJ5Q+HMM8H5C,2100-01-01,2025-01-01
23.07444,72.52851,36852,Super Store Ahmedabad Chanakyapuri ES54,380028,,ahmedabad,225912447,0,7JMJ3GFH+QCCM3PC,2100-01-01,2025-01-01
22.643902,88.34725,36854,Super Store Kolkata Belur ES134,711109,,howrah,223312066,0,7MJCJ8VW+HW62667,2100-01-01,2025-01-01
18.46621,73.90872,36856,Super Store Pune Mohammedwadi ES110,411047,,pune,222422410,0,7JCMFW85+FFQ6PQ5,2100-01-01,2025-01-01
19.212694,72.85308,36858,Super Store Mumbai Kandivali West ES128,400063,,mumbai,223525546,0,7JFJ6V73+36GPR5V,2100-01-01,2025-01-01
17.372068,78.46794,36860,Super Store Hyderabad Charminar ES112,500114,,hyderabad,227188707,0,7J9W9FC9+R5GJP6W,2100-01-01,2025-01-01
23.043026,72.665535,36862,Super Store Ahmedabad Nikol Naroda ES53,380009,,ahmedabad,225912447,0,7JMJ2MV8+667256P,2100-01-01,2025-01-01
28.5742,77.3804,36864,Super Store UP-NCR Noida Sector 75 ES148,201316,,noida,225639721,0,7JWVH9FJ+M5C,2026-07-29,2025-01-01
21.119297,79.0707,36866,Super Store Nagpur Vivekanand ES7,440015,,nagpur,228245816,0,7JHX439C+P78,2026-07-29,2025-01-01
22.579294,72.97157,36868,Super Store Anand Indira Gandhi Marg ES2,388120,,anand,229759509,0,7JJJHXHC+PJ8MW2V,2100-01-01,2025-01-01
17.473845,78.38539,36870,Super Store Hyderabad Ashvita KPHB ES100,500085,,hyderabad,227188707,0,7J9WF9FP+G5JW24C,2100-01-01,2025-01-01
17.432457,78.35968,36872,Super Store Hyderabad Gachibowli ES98,500114,,hyderabad,227188707,0,7J9WC9J5+XVM977R,2100-01-01,2025-01-01
18.551723,73.78409,36906,Super Store Pune Baner ES117,411023,,pune,222422410,0,7JCMHQ2M+MJPXP88,2100-01-01,2025-01-01
28.555489,77.28936,36908,Super Store Delhi Jamia ES284,121012,,delhi,229702738,0,7JWVH74Q+5PXGCPW,2100-01-01,2025-01-01
26.239977,72.95329,36910,Super Store Jodhpur Pal Village ES4,342014,,jodhpur,227342754,0,7JRJ6XQ3+X8V36Q2,2026-07-29,2025-01-01
19.127762,73.01316,36912,Super Store Mumbai Ghansoli ES150,400076,,mumbai,223525546,0,7JFM42H7+473CC9C,2100-01-01,2025-01-01
28.437637,77.33286,36946,Super Store Faridabad Sector 29 ES148,121013,,faridabad,223106950,0,7JWVC8QM+345G7WP,2100-01-01,2025-01-01
24.57582,73.68147,36980,Super Store Udaipur Malla Talai ES6,313001,,udaipur,222452646,0,7JPMHMGJ+8HHR54C,2100-01-01,2025-01-01
28.690125,77.10411,37014,Super Store Delhi Pushpanjali Enclave ES310,110018,,delhi,229702738,0,7JWVM4R3+3J5446X,2100-01-01,2025-01-01
25.37292,82.94047,37016,Super Store Varanasi Shivpur Bypass ES6,221002,,varanasi,227297401,0,7MQ49WFR+558QPXJ,2026-07-29,2025-01-01
21.269062,81.675186,37018,Super Store Raipur Adarsh Nagar ES4,493332,,raipur,222731525,0,7MH37M9G+J3FW,2026-07-29,2025-01-01
16.984818,82.24773,37020,Super Store Kakinada Jayendra Nagar ES1,533005,,kakinada,223478144,0,7M84X6MX+W3HMJF7,2100-01-01,2025-01-01
12.955334,80.216,37022,Super Store Chennai Perungudi ES57,600100,,chennai,226774846,0,7M42X648+4CJ,2026-07-29,2025-01-01
22.717712,88.3241,37024,Super Store Kolkata Serampore ES132,743144,,kolkata,229248797,0,7MJCP89F+3JQCC2J,2100-01-01,2026-03-26
28.576385,77.23975,37026,Super Store Delhi Lajpat Nagar ES304,201014,,delhi,229702738,0,7JWVH6GQ+HW26WXP,2100-01-01,2025-01-01
27.006386,75.77136,37028,Super Store Jaipur Jamunapuri ES54,302039,,jaipur,226506314,0,7JVQ2Q4C+HG5G658,2100-01-01,2025-01-01
26.836407,75.71654,37030,Super Store Jaipur Jaisinghpura ES51,302017,,jaipur,226506314,0,7JRQRPP8+HJ767VW,2100-01-01,2025-01-01
19.268951,72.870964,37032,Super Store Mumbai Mira Road East ES132,400615,,mumbai,223525546,0,7JFJ7V9C+H9P579G,2100-01-01,2025-01-01
28.494642,77.29182,37066,Super Store Faridabad Charmswood ES39,110068,,faridabad,223106950,0,7JWVF7VR+VP4J7XV,2100-01-01,2025-01-01
30.91699,75.87548,37068,Super Store Ludhiana Naulakha Road ES61,141008,,ludhiana,224908432,0,8J2QWV8G+Q5XFXJ5,2100-01-01,2025-01-01
