"filter_key","wh_name","dc_blinkit_internal_city","place_of_supply","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be","po_number","po_state","units_ordered","remaining_quantity","total_amount"
hyderabad-10176797,HYDERABAD H4 - FEEDER WAREHOUSE,hyderabad,hyderabad,"10176797",0,360,0.0,0.0,0.0,0.0,"","",0,0,0.0
ludhiana-10260300,LUDHIANA L2 - FEEDER WAREHOUSE,ludhiana,ludhiana,"10260300",128,61,7.19121348486004,9.37608146542294,8.482573925586527,26.28207331042383,"3226810044769",Scheduled,36,36,6804.0
pune-10176797,PUNE P3 - FEEDER WAREHOUSE,pune,pune,"10176797",404,138,148.5691489361702,142.71746293245468,0.9288604060005013,3.6481328989295054,"43886110063916",Scheduled,180,180,6804.0
bhopal-10216726,BHOPAL B1 - FEEDER WAREHOUSE,bhopal,bhopal,"10216726",339,20,49.05049344497037,44.31736566644691,0.40774309482610915,7.318988552128659,"27828910033903",Scheduled,216,216,5616.0
noida-10325396,CPC - NOIDA1 (HP),noida,noida,"10325396",21,0,3.926917989417989,3.489333047656944,0.0,5.347705263157896,"","",0,0,0.0
noida-10324645,NOIDA N1 - FEEDER WAREHOUSE,noida,noida,"10324645",13,0,0.0,2.2114285714285713,0.0,0.0,"2867410093603",Scheduled,144,144,12060.0
surat-10260300,SURAT S1 - FEEDER WAREHOUSE,surat,surat,"10260300",83,4,5.43336129967203,3.298991626722886,0.7361925297037488,16.012187521056536,"2873410039504",Scheduled,36,36,6804.0
mangalore-10265740,CPC - MANGALORE ATTAVAR(HP),mangalore,mangalore,"10265740",0,0,0.0,1.1443728685107994,0.0,0.0,"","",0,0,0.0
solapur-10216709,CPC - SOLAPUR KARNIK NAGAR (HP),solapur,solapur,"10216709",0,0,0.0,0.6685526368216368,0.0,0.0,"","",0,0,0.0
farukhnagar-10297369,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10297369",34,0,2.572202166064982,3.4946354280709437,0.0,13.218245614035087,"5383910069408",Scheduled,40,40,41972.0
delhi-10258761,CPC - DELHI4 (HP),delhi,delhi,"10258761",145,6,1.397704253882512,3.8987770916575863,4.292753623188405,108.0342995169082,"","",0,0,0.0
varanasi-10292367,VARANASI V2 - FEEDER WAREHOUSE,varanasi,varanasi,"10292367",260,91,22.3789612792388,28.05471064193555,4.0663192033144835,15.684374069927294,"51116810014857",Scheduled,144,144,11095.2
surat-10176793,CPC - SURAT1 (HP),surat,surat,"10176793",4,0,0.0,0.2871166176332396,0.0,0.0,"","",0,0,0.0
mumbai-10258761,MUMBAI M10 - FEEDER WAREHOUSE,mumbai,mumbai,"10258761",91,5,6.842105263157894,6.38655462184874,0.7307692307692308,14.030769230769232,"2273910094687",Scheduled,36,36,6804.0
lucknow-10176795,LUCKNOW L5 - FEEDER WAREHOUSE,lucknow,lucknow,"10176795",424,190,65.50115599172373,92.06529453513129,2.900712164896862,9.373880364456173,"2940310044047",Scheduled,180,180,6804.0
aurangabad-(maharashtra)-10315586,CC-DTS-CHITEGAON1,aurangabad,aurangabad-(maharashtra),"10315586",2,0,0.0,0.0,0.0,0.0,"","",0,0,0.0
bengaluru-10265740,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,bengaluru,"10265740",259,44,47.52024027161139,42.91398256915498,0.9259212442636915,6.376230386634057,"1736010088491",Scheduled,180,180,6804.0
jaipur-10258761,JAIPUR J3 - FEEDER WAREHOUSE,jaipur,jaipur,"10258761",131,0,11.3802893064756,9.004193458205203,0.0,11.511130909954858,"6478710071282",Scheduled,36,36,6804.0
farukhnagar-10249577,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10249577",12,0,0.519199567333694,1.1029049729197442,0.0,23.112499999999997,"1735210075935",Scheduled,18,18,13847.4
puducherry-10216709,CPC - PUDUCHERRY VENKATA NAGAR (HP),puducherry,puducherry,"10216709",0,0,0.0,0.2674210547286547,0.0,0.0,"","",0,0,0.0
gurgaon-10249577,SUPER STORE GURGAON G7 ECOM - WAREHOUSE,gurgaon,gurgaon,"10249577",3,0,0.0,0.54019835408314,0.0,0.0,"","",0,0,0.0
noida-10249574,NOIDA N1 - FEEDER WAREHOUSE,noida,noida,"10249574",5,1,5.259128182995251,7.881169058452923,0.19014558405961235,1.140873504357674,"2867410093168",Scheduled,12,12,24351.6
dasna-10216722,DASNA D3 - FEEDER WAREHOUSE,dasna,dasna,"10216722",176,17,39.29896186250466,39.8874536385727,0.43258140150057717,4.911071205271258,"2576310067807",Scheduled,216,216,5616.0
ranchi-10216715,RANCHI R2 - FEEDER WAREHOUSE,ranchi,ranchi,"10216715",361,228,71.88056697626052,92.20746229078357,3.1719282358373704,8.194147942579875,"51024410014605",Scheduled,216,216,5616.0
dehradun-10315543,CPC-DDN1,dehradun,dehradun,"10315543",6,1,0.0,0.8101398748267318,0.0,0.0,"","",0,0,0.0
delhi-10265740,CPC - DELHI4 (HP),delhi,delhi,"10265740",312,42,11.900501536968127,11.136647514364226,3.529263020514703,29.746645458623927,"","",0,0,0.0
surat-10252336,SURAT S1 - FEEDER WAREHOUSE,surat,surat,"10252336",40,5,4.1198910081743865,2.1861198738170353,1.2136243386243388,10.92261904761905,"","",0,0,0.0
hyderabad-10315546,HYDERABAD H3 - FEEDER WAREHOUSE,hyderabad,hyderabad,"10315546",297,37,55.42857142857143,55.42857142857143,0.6675257731958762,6.025773195876289,"6769710095165",Scheduled,96,96,3120.0
