"filter_key","dc_blinkit_warehouse_id","wh_name","dc_blinkit_internal_city","place_of_supply","variant_id","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be"
coimbatore-10297369,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"766912","10297369",1,0,0.0,0.0,0.0,0.0
coimbatore-10297369,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"766912","10297369",1,0,0.0,0.0,0.0,0.0
coimbatore-10315546,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796933","10315546",4,0,0.0,0.0,0.0,0.0
coimbatore-10315546,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796933","10315546",4,0,0.0,0.0,0.0,0.0
coimbatore-10315586,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796973","10315586",1,0,0.0,0.0,0.0,0.0
coimbatore-10315586,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796973","10315586",1,0,0.0,0.0,0.0,0.0
coimbatore-10325396,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"1368466","10325396",194,54,6.0312973245835435,6.68062827225131,8.953297623033144,41.118848342818886
coimbatore-10325396,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"1368466","10325396",194,54,6.0312973245835435,6.68062827225131,8.953297623033144,41.118848342818886
coimbatore-10176793,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581438","10176793",275,172,14.858995137763372,10.363943661971831,11.575479930191971,30.08278795811518
coimbatore-10176793,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581438","10176793",275,172,14.858995137763372,10.363943661971831,11.575479930191971,30.08278795811518
coimbatore-10258761,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708957","10258761",96,33,1.5535714285714284,2.082273747195213,21.24137931034483,83.0344827586207
coimbatore-10258761,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708957","10258761",96,33,1.5535714285714284,2.082273747195213,21.24137931034483,83.0344827586207
coimbatore-10176795,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581440","10176795",413,21,30.471485036702425,29.12508702715247,0.6891689057722599,14.242824052626704
coimbatore-10176795,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581440","10176795",413,21,30.471485036702425,29.12508702715247,0.6891689057722599,14.242824052626704
coimbatore-10249576,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696715","10249576",72,11,1.7142857142857142,1.7142857142857142,6.416666666666667,48.41666666666667
coimbatore-10249576,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696715","10249576",72,11,1.7142857142857142,1.7142857142857142,6.416666666666667,48.41666666666667
coimbatore-10258187,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708073","10258187",107,33,0.7453416149068323,0.10389610389610389,44.275000000000006,187.83333333333334
coimbatore-10258187,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"708073","10258187",107,33,0.7453416149068323,0.10389610389610389,44.275000000000006,187.83333333333334
coimbatore-10265737,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719409","10265737",95,7,0.5823792931806869,3.136155954919281,12.01965811965812,175.14358974358973
coimbatore-10265737,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"719409","10265737",95,7,0.5823792931806869,3.136155954919281,12.01965811965812,175.14358974358973
coimbatore-10324645,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"1365580","10324645",0,6,0.0,0.0,0.0,0.0
coimbatore-10324645,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"1365580","10324645",0,6,0.0,0.0,0.0,0.0
coimbatore-10249578,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696717","10249578",89,18,0.7709750566893425,0.653061224489796,23.34705882352941,138.78529411764703
coimbatore-10249578,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696717","10249578",89,18,0.7709750566893425,0.653061224489796,23.34705882352941,138.78529411764703
coimbatore-10176794,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581439","10176794",298,34,13.835051546391753,7.714285714285714,2.4575260804769,23.997019374068554
coimbatore-10176794,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581439","10176794",298,34,13.835051546391753,7.714285714285714,2.4575260804769,23.997019374068554
coimbatore-10216715,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"649989","10216715",597,273,46.097195712817495,35.67797522886376,5.92226914844825,18.873165418131787
coimbatore-10216715,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"649989","10216715",597,273,46.097195712817495,35.67797522886376,5.92226914844825,18.873165418131787
coimbatore-10252336,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"700334","10252336",73,0,1.1428571428571428,1.1428571428571428,0.0,63.875
coimbatore-10252336,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"700334","10252336",73,0,1.1428571428571428,1.1428571428571428,0.0,63.875
coimbatore-10199527,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"624551","10199527",281,92,9.164218958611482,6.7655398037077425,10.03904428904429,40.70177738927739
coimbatore-10199527,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"624551","10199527",281,92,9.164218958611482,6.7655398037077425,10.03904428904429,40.70177738927739
coimbatore-10216722,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"650002","10216722",298,52,8.697247706422019,8.3295978905735,5.9789029535864975,40.242616033755276
coimbatore-10216722,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"650002","10216722",298,52,8.697247706422019,8.3295978905735,5.9789029535864975,40.242616033755276
coimbatore-10260300,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"711067","10260300",133,8,4.840637450199203,2.0819277108433734,1.6526748971193415,29.128395061728394
coimbatore-10260300,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"711067","10260300",133,8,4.840637450199203,2.0819277108433734,1.6526748971193415,29.128395061728394
coimbatore-10249574,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696713","10249574",46,4,0.9411764705882353,1.5304347826086953,4.25,53.125
coimbatore-10249574,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696713","10249574",46,4,0.9411764705882353,1.5304347826086953,4.25,53.125
coimbatore-10249577,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696716","10249577",101,28,2.654377880184332,1.061611374407583,10.54861111111111,48.598958333333336
coimbatore-10249577,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"696716","10249577",101,28,2.654377880184332,1.061611374407583,10.54861111111111,48.598958333333336
coimbatore-10176797,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581442","10176797",512,29,46.60637460845297,37.15592308458703,0.6222324787892918,11.607854173276099
coimbatore-10176797,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,coimbatore,"581442","10176797",512,29,46.60637460845297,37.15592308458703,0.6222324787892918,11.607854173276099
